 Nic Claxton<>C<>BRK<>66<>16<>44<>1<>15<>
 Chris Clemons<>SG<>HOU<>161<>27<>30<>9<>33<>
 Antonius Cleveland<>SG<>DAL<>11<>1<>7<>1<>11<>
 Amir Coffey<>SG<>LAC<>58<>14<>16<>5<>18<>
 John Collins<>PF<>ATL<>885<>60<>416<>31<>41<>
 Zach Collins<>PF<>POR<>77<>16<>69<>5<>11<>
 Mike Conley<>PG<>UTA<>675<>208<>151<>36<>47<>
 Pat Connaughton<>SG<>MIL<>360<>107<>284<>25<>67<>
 Quinn Cook<>PG<>LAL<>224<>49<>51<>12<>44<>
 Tyler Cook<>PF-SF<>none<>23<>1<>14<>3<>13<>
 Tyler Cook<>PF<>CLE<>19<>1<>10<>1<>11<>
 Tyler Cook<>SF<>DEN<>4<>0<>4<>2<>2<>
 Robert Covington<>PF-C<>none<>870<>88<>463<>115<>70<>
 Robert Covington<>PF<>MIN<>615<>56<>287<>80<>48<>
 Robert Covington<>C<>HOU<>255<>32<>176<>35<>22<>
 Allen Crabbe<>SG-SF<>none<>172<>33<>77<>15<>37<>
 Allen Crabbe<>SG<>ATL<>143<>28<>65<>15<>28<>
 Allen Crabbe<>SF<>MIN<>29<>5<>12<>0<>9<>
 Torrey Craig<>SF<>DEN<>315<>47<>189<>23<>58<>
 Jamal Crawford<>SG<>BRK<>5<>3<>0<>0<>1<>
 Jae Crowder<>SF-PF<>none<>684<>161<>384<>72<>65<>
 Jae Crowder<>SF<>MEM<>447<>125<>277<>47<>45<>
 Jae Crowder<>PF<>MIA<>237<>36<>107<>25<>20<>
 Jarrett Culver<>SG<>MIN<>580<>110<>212<>57<>63<>
 Seth Curry<>SG<>DAL<>793<>124<>145<>38<>64<>
 Stephen Curry<>PG<>GSW<>104<>33<>26<>5<>5<>
 Troy Daniels<>SG<>none<>200<>17<>52<>11<>47<>
 Troy Daniels<>SG<>LAL<>174<>14<>46<>8<>41<>
 Troy Daniels<>SG<>DEN<>26<>3<>6<>3<>6<>
 Anthony Davis<>PF<>LAL<>1618<>200<>577<>91<>62<>
 Ed Davis<>C<>UTA<>51<>12<>105<>11<>28<>
 Terence Davis<>SG<>TOR<>543<>115<>237<>39<>72<>
 Dewayne Dedmon<>C<>none<>256<>22<>249<>25<>44<>
 Dewayne Dedmon<>C<>SAC<>175<>15<>167<>15<>34<>
 Dewayne Dedmon<>C<>ATL<>81<>7<>82<>10<>10<>
 Matthew Dellavedova<>PG<>CLE<>177<>180<>75<>20<>57<>
 DeMar DeRozan<>SF<>SAS<>1504<>380<>375<>70<>68<>
 Cheick Diallo<>C<>PHO<>219<>22<>131<>11<>47<>
 Hamidou Diallo<>SF<>OKC<>318<>36<>167<>37<>46<>
 Gorgui Dieng<>C<>none<>464<>73<>354<>51<>63<>
 Gorgui Dieng<>C<>MIN<>341<>58<>256<>37<>46<>
 Gorgui Dieng<>C<>MEM<>123<>15<>98<>14<>17<>
 Spencer Dinwiddie<>PG<>BRK<>1318<>432<>221<>40<>64<>
 Donte DiVincenzo<>SG<>MIL<>610<>154<>318<>85<>66<>
 Luka Dončić<>PG<>DAL<>1759<>538<>573<>62<>61<>
 Luguentz Dort<>SF<>OKC<>244<>27<>81<>31<>36<>
 Damyean Dotson<>SG<>NYK<>321<>57<>91<>23<>48<>
 Sekou Doumbouya<>PF<>DET<>243<>19<>118<>20<>38<>
 PJ Dozier<>SG<>DEN<>168<>63<>55<>14<>29<>
 Goran Dragić<>PG<>MIA<>953<>301<>187<>40<>59<>
 Andre Drummond<>C<>none<>1010<>152<>864<>109<>57<>
 Andre Drummond<>C<>DET<>870<>138<>775<>97<>49<>
 Andre Drummond<>C<>CLE<>140<>14<>89<>12<>8<>
 Jared Dudley<>PF<>LAL<>68<>28<>52<>15<>45<>
 Kris Dunn<>PG<>CHI<>373<>173<>186<>101<>51<>
